,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price
qty,1.0,0.7496051765324717,-0.13552120983919447,-0.1034321168672854,0.07997256840299317,-0.022748528387384937,0.12851522211978458,-0.034301079476575444,-0.004028460616277028,0.4415467944423469,0.030918073124108665,-0.07511832925594278,0.21160980198074636,-0.0051292249400537206,0.058562353422297306,0.4110012611222994,0.04982742004706431,-0.033570215101854255,-0.04788262179592284,-0.05347744101765038,-0.027044219200455907,0.036633178889029325,-0.06985512305029541,-0.06852193134883772,-0.0744656056735379,-0.0864388993641164,-0.08588477092051088
total_price,0.7496051765324717,1.0,0.02584783203429762,0.40900140551988273,-0.0025936096044648135,0.17537599556122357,0.15794454477439598,0.06009165976692873,0.036118713004231896,0.3863887929083233,0.018797529470679284,-0.053788393947927095,0.13655786088690697,-0.029917507765308174,0.0821396166526061,0.33450015992234045,-0.08872591147874083,0.1444261834960807,0.05894056872144424,-0.00672939261688552,0.20305025252319905,0.11317794834613769,-0.0012403960308306665,0.12111405956908124,-0.24052635352721205,-0.0774423617587007,0.42625588412087795
freight_price,-0.13552120983919447,0.02584783203429762,1.0,0.20365903884774836,0.013397988683007752,0.423218793211087,-0.20099043110972056,0.6706887520543323,0.19946819362896956,0.08826064874203114,-0.01613168030586496,0.030275002483862834,-0.08151783501070312,-0.028336339062725212,0.07659502256847184,-0.10935936635317074,0.12209693405365495,-0.01396916024923299,-0.05392677736093694,0.30647862125493264,-0.08420805025302494,0.16888130398925733,0.4846471630257394,-0.08928489254003856,0.05462730316735427,0.4121153196147504,0.20114257863614896
unit_price,-0.1034321168672854,0.40900140551988273,0.20365903884774836,1.0,-0.17061271973408348,0.2801757312620486,0.0769902687735537,0.11295840557431946,0.04216208236562715,0.04339136390773738,-0.011948767757185159,-4.184645867017764e-05,0.01257253072643915,-0.004249402766625412,-0.06807221867048364,-0.016551672743142294,-0.1972331861547408,0.3171127994243645,0.1974250662253891,-0.004517515383451282,0.4664588570241593,0.0854358736509576,0.026601421921719222,0.38377974466760323,-0.24211128897928652,0.01946104197124366,0.994453428511264
product_name_lenght,0.07997256840299317,-0.0025936096044648135,0.013397988683007752,-0.17061271973408348,1.0,0.12451009584793424,0.13195098026761057,-0.04404999696407505,0.1635195221017492,0.08223890577319186,0.023797225436450263,-0.018182777188691726,-0.014317016593686243,-0.004249868439297376,-0.03547938432101948,-0.08082973553121611,0.3294761569303248,-0.34412467715559353,0.019053408943010525,-0.07938820708640817,-0.24061307053606687,-0.05506932593586339,0.016903058111906497,-0.3827873986300246,0.11721683229793918,-0.0014700603421876285,-0.17486224653291638
product_description_lenght,-0.022748528387384937,0.17537599556122357,0.423218793211087,0.2801757312620486,0.12451009584793424,1.0,0.06012449960830659,0.38697292186129784,0.18754361386656185,0.06749692181698273,-0.019320213480231586,-0.012464657789516604,0.018341593030264943,-0.02956086800011947,0.030949026623713308,0.001335372431781577,-0.14157982530969895,-0.004371196979572895,0.1886013656093202,0.03177065273402526,0.015029923313390443,0.16277724565419843,0.15576316641381938,0.04387991300430808,0.048145966248419984,0.18675991259523425,0.2738829423641289
product_photos_qty,0.12851522211978458,0.15794454477439598,-0.20099043110972056,0.0769902687735537,0.13195098026761057,0.06012449960830659,1.0,-0.12929079672765048,0.04828594777442604,-0.022535904811508467,0.02231070311739905,0.008326351096152146,-0.008898353368854516,0.04172796387691226,0.03360189049812337,0.08379944685515364,-0.15353799620554143,-0.04539776533836169,-0.005676605580270962,-0.194512125046716,-0.1338352975499675,-0.042817075120564194,-0.1587489268023393,-0.0006609712626952698,0.06173088348531263,-0.044934874716374903,0.07524622668782988
product_weight_g,-0.034301079476575444,0.06009165976692873,0.6706887520543323,0.11295840557431946,-0.04404999696407505,0.38697292186129784,-0.12929079672765048,1.0,0.17867837169955855,0.05352329821977802,-0.02996034276100833,0.011308503309144588,-0.0032655249947481668,-0.011176170593278871,-0.1083607623920433,-0.050676403702979295,0.2519662263944513,0.06432978792358134,-0.24186139364279524,0.13838358456823469,-0.01712506432476419,0.14428869017455262,0.3206580659033043,-0.03555868819818989,0.20883567828470367,0.35126793948622237,0.1127904650160459
product_score,-0.004028460616277028,0.036118713004231896,0.19946819362896956,0.04216208236562715,0.1635195221017492,0.18754361386656185,0.04828594777442604,0.17867837169955855,1.0,0.020185149548309442,0.0031206819275923386,-0.010395846552741986,-0.009899091909070212,-0.004951816676052373,-0.053069627956126186,-0.051635886168216,0.1178870102765888,-0.21528388724740488,0.29774608165028105,-0.11761278224296048,-0.06435223400372395,0.5069670376398688,0.05079968834712959,-0.12439909855074556,0.35362253559280826,0.04979131876228493,0.03510946234510448
customers,0.4415467944423469,0.3863887929083233,0.08826064874203114,0.04339136390773738,0.08223890577319186,0.06749692181698273,-0.022535904811508467,0.05352329821977802,0.020185149548309442,1.0,0.029809631352340604,-0.11180555920136896,0.31025398212787136,-0.02285182253774226,0.21827165230765735,0.21438328870815512,0.0416412471735867,-0.177735227935055,0.07731447560941006,-0.20401211113749915,-0.14270416301971725,0.14828962415939143,-0.15645398122143406,-0.11567305242730226,-0.2202345052033453,-0.17253242160013765,0.05698797276773174
